Ano,Escola,Cidade,Horário da visita: ,Número de alunos: ,De quais os anos do ensino fundamental são os alunos visitantes?,Número de alunos do ensino fundamental,De quais os anos do ensino médio são os alunos visitantes?,Número de alunos do ensino medio
2025,ESCOLA ESTADUAL PADRE NONO,IBITIRA - MARTINHO CAMPOS ,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",40
2025,Escola municipal Sebastião Ferreira de Oliveira ,Betim,Manhã e Tarde,,9º ano,70,Não levaremos estudantes do ensino médio,0
2025,ESCOLA MUNICIPAL MARIA RENILDA FERREIRA ,JUATUBA ,Manhã,,9º ano,30,Não levaremos estudantes do ensino médio,0
2025,Escola Municipal Professora Izaltina Mendonça Meireles,Pará de Minas,Manhã e Tarde,,9º ano,38,Não levaremos estudantes do ensino médio,0
2025,ESCOLA MUNICIPAL MARIA LUZIA DE ANDRADE,JUATUBA,Manhã,,9º ano,22,Não levaremos estudantes do ensino médio,0
2025,E M ARISTIDES JOSÉ DA SILVA,Betim,Manhã,,9º ano,40,Não levaremos estudantes do ensino médio,0
2025,Escola Estadual Joaquim Correa,Juatuba ,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,3º ano,50
2025,ESCOLA MUNICIPAL DERCY ALVES RIBEIRO ,FLORESTAL ,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,95,Não levaremos estudantes do ensino médio,0
2025,E. M. MARIA JOSÉ CAMPOS ,Betim ,Manhã,,"8º ano, 9º ano",46,Não levaremos estudantes do ensino médio,0
2025,ESCOLA ESTADUAL PROFESSORA LOURDES BERNADETE DA SILVA,BETIM,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,3º ano,30
2025,Escola Estadual Pedro Pereira Gumarães,Vazante,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,3º ano,22
2025,ESCOLA ESTADUAL JUSCELINO KUBITSCHEK ,Betim,Manhã,,Não levaremos estudantes do ensino fundamental,0,3º ano,42
2025,Escola Estadual Nossa Senhora do Carmo ,Betim,Tarde,,Não levaremos estudantes do ensino fundamental,0,3º ano,25
2025,Colégio Universo ,Bom Despacho ,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano",30
2025,Escola Municipal Miguel Rodrigues Duarte,Juatuba (MG),Manhã,,9º ano,70,Não levaremos estudantes do ensino médio,0
2025,Escola Municipal Eid Nogueira Fares,Mateus Leme,Manhã e Tarde,,9º ano,70,Não levaremos estudantes do ensino médio,0
2025,Colégio Inovare,Mateus Leme,Manhã e Tarde,,9º ano,21,Não levaremos estudantes do ensino médio,21
2025,Secretaria Municipal de Educação - (Centro de Referência do Professor),São Joaquim de Bicas,Manhã,,9º ano,80,Não levaremos estudantes do ensino médio,0
2025,E.E. Dr. José Gonçalves,Martinho Campos,Manhã e Tarde,,9º ano,25,3º ano,23
2025,Escola Estadual Dr. Orestes Diniz,Betim,Manhã,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",40
2025,Escola Estadual Domingos Justino Ribeiro,Mateus Leme,Manhã,,Não levaremos estudantes do ensino fundamental,0,"2º ano, 3º ano",46
2025,Escola Estadual Nossa Senhora Auxiliadora,Pará de Minas - MG,Manhã,,Não levaremos estudantes do ensino fundamental,0,3º ano,30
2025,Escola Estadual Doutor Isauro Epifânio,Conceição do Pará,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,3º ano,36
2025,ESCOLA MUNICIPAL DONA COTINHA,PARÁ DE MINAS,Manhã e Tarde,,9º ano,60,Não levaremos estudantes do ensino médio,0
